91,91. Медуза горгона,2021-08-16,0,0,0,0,2,5.0,4,38,0.10526315789473684
92,92. Летающая ведьмочка,2021-08-16,0,0,0,0,0,0,0,30,0.0
93,93. Лесной колдун,2021-08-16,0,0,0,0,0,0,0,9,0.0
94,94. Лесная нимфа,2021-08-16,0,0,0,0,2,5.0,7,74,0.0945945945945946
95,95. Кот-Русал,2021-08-16,0,0,0,0,2,5.0,6,135,0.044444444444444446
96,96. Космический полёт,2021-08-16,0,0,0,0,0,0,0,13,0.0
97,97. Королевский дракон,2021-08-16,0,0,0,0,0,0,2,44,0.045454545454545456
98,98. Зубная фея,2021-08-16,0,0,0,0,0,0,1,24,0.041666666666666664
99,99. Гном на каникулах,2021-08-16,0,0,0,0,0,0,0,11,0.0
100,100. Волшебный джин,2021-08-16,0,0,0,0,0,0,0,12,0.0
101,101. Тукан,2021-08-16,0,0,0,0,0,0,1,25,0.04
102,102. Прожорливая гусеница,2021-08-16,0,0,0,0,1,5.0,2,49,0.04081632653061224
103,103. Неоновый котик,2021-08-16,0,0,1,0,0,3.0,4,79,0.05063291139240506
104,104. Морские коньки,2021-08-16,0,0,0,0,0,0,1,73,0.0136986301369863
105,105. Котик круглик,2021-08-16,0,0,0,0,5,5.0,10,204,0.049019607843137254
106,106. Королевская кобра,2021-08-16,0,0,0,0,3,5.0,5,83,0.060240963855421686
107,107.  Зебра,2021-08-16,0,0,0,0,1,5.0,2,54,0.037037037037037035
108,108. Волшебная сова,2021-08-16,0,0,0,0,0,0,2,80,0.025
109,109. Арт-пицца,2021-08-16,0,0,0,0,1,5.0,3,62,0.04838709677419355
110,110. Ёжик,2021-08-16,0,0,0,0,1,5.0,5,122,0.040983606557377046
111,111. Свекла-рокер,2021-08-16,0,0,0,0,0,0,0,12,0.0
112,112. Сахарная кукуруза,2021-08-16,0,0,0,0,1,5.0,1,16,0.0625
113,113. Редис Хоттабыч,2021-08-16,0,0,0,0,0,0,0,5,0.0
114,114. Разноцветный горошек,2021-08-16,0,0,0,0,0,0,1,32,0.03125
115,115. Обаятельный баклажан,2021-08-16,0,0,0,0,5,5.0,7,111,0.06306306306306306
116,116. Морковные птички,2021-08-16,0,0,0,0,0,0,0,13,0.0
117,117. Милая тыковка,2021-08-16,0,0,0,0,1,5.0,2,24,0.08333333333333333
118,118. Кудрявая брокколи,2021-08-16,0,0,0,0,2,5.0,5,58,0.08620689655172414
119,119. Граф Лукула,2021-08-16,0,0,0,0,0,0,0,6,0.0
120,120. Брокколи в парикмахерской,2021-08-16,0,0,0,0,1,5.0,3,26,0.11538461538461539
121,121. Хранитель снов,2021-08-16,0,0,0,0,3,5.0,5,64,0.078125
122,122. Радужная грива,2021-08-16,0,0,0,0,1,5.0,2,48,0.041666666666666664
123,123. Пегас,2021-08-16,0,0,0,0,2,5.0,2,36,0.05555555555555555
124,124. Летающие косточки,2021-08-16,0,0,0,0,3,5.0,8,139,0.05755395683453238
125,125. Звездная принцесса,2021-08-16,0,0,0,0,4,5.0,4,27,0.14814814814814814
126,126. Единорог смузи,2021-08-16,0,0,0,0,2,5.0,3,69,0.043478260869565216
127,127. Единорог круглик,2021-08-16,0,0,0,0,3,5.0,8,140,0.05714285714285714
128,128. Единорог балерина,2021-08-16,0,0,0,0,1,5.0,1,34,0.029411764705882353
129,129. Вкусная радуга,2021-08-16,1,0,1,1,4,4.0,18,301,0.059800664451827246
130,130. Верхом на облаке,2021-08-16,0,0,0,0,0,0,1,62,0.016129032258064516
131,131. Африканский крокодил,2021-08-16,0,0,0,0,0,0,0,12,0.0
132,132. Яркий бегемотик,2021-08-16,0,0,0,0,0,0,0,7,0.0
133,133. Чудесный розовый фламинго,2021-08-16,0,0,0,0,1,5.0,1,31,0.03225806451612903
134,134. Солнечная поездка,2021-08-16,0,0,0,0,0,0,1,15,0.06666666666666667
135,135. Необычный жираф,2021-08-16,0,0,0,0,2,5.0,5,38,0.13157894736842105
136,136. Мечтательный слонёнок,2021-08-16,0,0,0,0,1,5.0,3,46,0.06521739130434782
137,137. Любопытная обезьянка,2021-08-16,0,0,0,0,0,0,0,34,0.0
138,138. Дружелюбная змейка,2021-08-16,0,0,0,0,2,5.0,5,73,0.0684931506849315
139,139. Довольный сурикат,2021-08-16,0,0,0,0,0,0,0,5,0.0
140,140. Африканская женщина,2021-08-16,0,0,0,0,1,5.0,6,89,0.06741573033707865
141,141. Меч,2021-08-16,0,0,0,0,4,5.0,12,240,0.05
142,142. Тюльпаны,2021-08-16,0,0,0,0,4,5.0,6,166,0.03614457831325301
143,143. Стрекоза,2021-08-16,1,0,0,0,0,1.0,1,30,0.03333333333333333
144,144. Модная сумочка,2021-08-16,0,0,0,0,1,5.0,5,123,0.04065040650406504
145,145. Лягушки-попрыгушки,2021-08-16,0,0,0,0,5,5.0,9,151,0.059602649006622516
146,146. Лисичка,2021-08-16,0,0,0,0,0,0,0,45,0.0
147,147. Закладка-лисичка,2021-08-16,0,0,0,0,8,5.0,10,147,0.06802721088435375
148,148. Зайка,2021-08-16,1,0,0,0,0,1.0,4,73,0.0547945205479452
149,149. Волчок,2021-08-16,0,0,0,0,3,5.0,4,64,0.0625
150,150. Бабочка,2021-08-16,0,0,0,0,2,5.0,3,96,0.03125
151,151. Хозяин леса,2021-08-16,0,0,0,0,0,0,1,37,0.02702702702702703
